(z2,s3,pot_s3,s2,pot_s2,z1,s1,pot_s1,s0)
223:(0,0,6,0,9,0,1,14,1)
224:(0,0,6,1,9,0,0,0,0)
225:(0,0,6,1,9,0,0,0,1)
226:(0,0,6,1,9,0,0,3,0)
227:(0,0,6,1,9,0,0,3,1)
228:(0,0,6,1,9,0,0,6,0)
229:(0,0,6,1,9,0,0,6,1)
230:(0,0,6,1,9,0,0,9,0)
231:(0,0,6,1,9,0,0,9,1)
232:(0,0,6,1,9,0,0,12,0)
233:(0,0,6,1,9,0,0,12,1)
234:(0,0,6,1,9,0,1,11,0)
235:(0,0,6,1,9,0,1,11,1)
236:(0,0,6,1,9,0,1,14,0)
237:(0,0,6,1,9,0,1,14,1)
238:(0,0,6,1,12,0,0,0,0)
239:(0,0,6,1,12,0,0,0,1)
240:(0,0,6,1,12,0,0,3,0)
241:(0,0,6,1,12,0,0,3,1)
242:(0,0,6,1,12,0,0,6,0)
243:(0,0,6,1,12,0,0,6,1)
244:(0,0,6,1,12,0,0,9,0)
245:(0,0,6,1,12,0,0,9,1)
246:(0,0,6,1,12,0,0,12,0)
247:(0,0,6,1,12,0,0,12,1)
248:(0,0,6,1,12,0,1,11,0)
249:(0,0,6,1,12,0,1,11,1)
250:(0,0,6,1,12,0,1,14,0)
251:(0,0,6,1,12,0,1,14,1)
252:(0,0,9,0,0,0,0,0,0)
253:(0,0,9,0,0,0,0,0,1)
254:(0,0,9,0,0,0,0,3,0)
255:(0,0,9,0,0,0,0,3,1)
256:(0,0,9,0,0,0,0,6,0)
257:(0,0,9,0,0,0,0,6,1)
258:(0,0,9,0,0,0,0,9,0)
259:(0,0,9,0,0,0,0,9,1)
260:(0,0,9,0,0,0,0,12,0)
261:(0,0,9,0,0,0,0,12,1)
262:(0,0,9,0,0,0,1,11,0)
263:(0,0,9,0,0,0,1,11,1)
264:(0,0,9,0,0,0,1,14,0)
265:(0,0,9,0,0,0,1,14,1)
266:(0,0,9,0,3,0,0,0,0)
267:(0,0,9,0,3,0,0,0,1)
268:(0,0,9,0,3,0,0,3,0)
269:(0,0,9,0,3,0,0,3,1)
270:(0,0,9,0,3,0,0,6,0)
271:(0,0,9,0,3,0,0,6,1)
272:(0,0,9,0,3,0,0,9,0)
273:(0,0,9,0,3,0,0,9,1)
274:(0,0,9,0,3,0,0,12,0)
275:(0,0,9,0,3,0,0,12,1)
276:(0,0,9,0,3,0,1,11,0)
277:(0,0,9,0,3,0,1,11,1)
278:(0,0,9,0,3,0,1,14,0)
279:(0,0,9,0,3,0,1,14,1)
280:(0,0,9,0,6,0,0,0,0)
281:(0,0,9,0,6,0,0,0,1)
282:(0,0,9,0,6,0,0,3,0)
283:(0,0,9,0,6,0,0,3,1)
284:(0,0,9,0,6,0,0,6,0)
285:(0,0,9,0,6,0,0,6,1)
286:(0,0,9,0,6,0,0,9,0)
